"worker_id","first_name","last_name","gender","base_salary","overtime","total_salary","employee_level"
"HRC-1087","John","Miller","Female",23804,1900,25704,"A5-F"
"HRC-1088","James","Johnson","Male",5549,700,6249,"B2"
"HRC-1089","Elizabeth","Davis","Female",27000,1600,28600,"A5-F"
"HRC-1090","William","Wilson","Female",29261,1500,30761,"B2"
"HRC-1091","Barbara","Davis","Male",9510,300,9810,"B2"
"HRC-1092","Linda","Anderson","Female",30690,1700,32390,"B2"
"HRC-1093","Elizabeth","Garcia","Male",32093,1100,33193,"B2"
"HRC-1094","Jennifer","Brown","Male",16093,0,16093,"A1"
"HRC-1095","Barbara","Johnson","Male",11605,1800,13405,"A1"
"HRC-1096","Linda","Johnson","Female",25217,1600,26817,"A5-F"
"HRC-1097","Barbara","Brown","Female",19036,500,19536,"A1"
"HRC-1098","David","Anderson","Male",34864,1800,36664,"B2"
"HRC-1099","Linda","Garcia","Female",30467,300,30767,"B2"
"HRC-1100","Elizabeth","Wilson","Male",13384,700,14084,"A1"
"HRC-1101","James","Miller","Female",9798,1900,11698,"A1"
"HRC-1102","James","Williams","Male",33846,300,34146,"B2"
"HRC-1103","Mary","Johnson","Female",27914,1300,29214,"A5-F"
"HRC-1104","Jennifer","Davis","Male",13296,800,14096,"A1"
"HRC-1105","Elizabeth","Johnson","Male",23932,1300,25232,"B2"
"HRC-1106","David","Williams","Female",33883,800,34683,"B2"
"HRC-1107","William","Brown","Female",26955,2000,28955,"A5-F"
"HRC-1108","John","Anderson","Female",30535,1400,31935,"B2"
"HRC-1109","Robert","Jones","Female",8304,600,8904,"A5-F"
"HRC-1110","Michael","Garcia","Female",32095,1700,33795,"B2"
"HRC-1111","William","Martinez","Male",19345,1400,20745,"B2"
"HRC-1112","Jennifer","Garcia","Female",15922,1400,17322,"A1"
"HRC-1113","John","Wilson","Female",6763,500,7263,"B2"
"HRC-1114","Jennifer","Jones","Male",26659,500,27159,"B2"
"HRC-1115","James","Smith","Female",19688,600,20288,"A5-F"
"HRC-1116","William","Miller","Female",26993,1900,28893,"A5-F"
"HRC-1117","Elizabeth","Anderson","Female",6147,1800,7947,"A5-F"
"HRC-1118","James","Anderson","Female",22131,1500,23631,"A5-F"
"HRC-1119","David","Smith","Male",5686,800,6486,"B2"
"HRC-1120","Patricia","Jones","Female",8307,0,8307,"A5-F"
"HRC-1121","Linda","Williams","Male",16268,1600,17868,"A1"
"HRC-1122","Elizabeth","Martinez","Female",27005,1400,28405,"A5-F"
"HRC-1123","William","Garcia","Male",7194,700,7894,"B2"
"HRC-1124","Elizabeth","Rodriguez","Male",20808,1400,22208,"B2"
"HRC-1125","Michael","Anderson","Female",24505,1300,25805,"A5-F"
"HRC-1126","James","Miller","Male",19321,1800,21121,"B2"
"HRC-1127","Patricia","Martinez","Female",32879,0,32879,"B2"
"HRC-1128","Patricia","Davis","Female",8000,0,8000,"A5-F"
"HRC-1129","Jennifer","Anderson","Male",9641,900,10541,"A1"
"HRC-1130","Patricia","Anderson","Male",28769,500,29269,"B2"
"HRC-1131","John","Rodriguez","Male",14448,1800,16248,"A1"
"HRC-1132","Patricia","Williams","Female",6764,800,7564,"A5-F"
"HRC-1133","Jennifer","Miller","Male",24996,800,25796,"B2"
"HRC-1134","James","Anderson","Male",16754,500,17254,"A1"
"HRC-1135","Barbara","Smith","Male",33713,700,34413,"B2"
"HRC-1136","Patricia","Wilson","Female",17700,1200,18900,"A1"
"HRC-1137","John","Williams","Female",33761,1300,35061,"B2"
"HRC-1138","Linda","Martinez","Female",18675,1100,19775,"A1"
"HRC-1139","James","Davis","Female",23649,1700,25349,"A5-F"
"HRC-1140","Elizabeth","Anderson","Female",23124,1300,24424,"A5-F"
"HRC-1141","John","Rodriguez","Male",24464,700,25164,"B2"
"HRC-1142","James","Martinez","Male",8868,400,9268,"B2"
"HRC-1143","James","Johnson","Male",28383,1500,29883,"B2"
"HRC-1144","Jennifer","Garcia","Female",12076,600,12676,"A1"
"HRC-1145","James","Davis","Male",33602,800,34402,"B2"
"HRC-1146","Patricia","Rodriguez","Male",7150,1900,9050,"B2"
"HRC-1147","Patricia","Anderson","Male",18868,200,19068,"A1"
"HRC-1148","Michael","Miller","Male",17982,800,18782,"A1"
"HRC-1149","Robert","Jones","Male",22008,1100,23108,"B2"
"HRC-1150","Robert","Brown","Female",12315,200,12515,"A1"
"HRC-1151","David","Brown","Female",6714,1800,8514,"A5-F"
"HRC-1152","Robert","Smith","Male",7098,400,7498,"B2"
"HRC-1153","Barbara","Anderson","Male",28743,1800,30543,"B2"
"HRC-1154","Linda","Davis","Male",24750,300,25050,"B2"
"HRC-1155","Patricia","Wilson","Female",15624,100,15724,"A1"
"HRC-1156","Elizabeth","Miller","Male",27586,600,28186,"B2"
"HRC-1157","Mary","Rodriguez","Male",18471,2000,20471,"B2"
"HRC-1158","Michael","Garcia","Male",22671,600,23271,"B2"
"HRC-1159","Barbara","Wilson","Female",21937,300,22237,"A5-F"
"HRC-1160","Michael","Anderson","Male",13173,1300,14473,"A1"
"HRC-1161","David","Smith","Female",33049,200,33249,"B2"
"HRC-1162","Robert","Wilson","Male",10732,1100,11832,"A1"
"HRC-1163","Barbara","Davis","Male",21948,2000,23948,"B2"
"HRC-1164","Michael","Martinez","Female",16360,500,16860,"A1"
"HRC-1165","Mary","Brown","Male",12457,1900,14357,"A1"
"HRC-1166","Mary","Brown","Female",33058,600,33658,"B2"
"HRC-1167","David","Smith","Female",33852,1100,34952,"B2"
"HRC-1168","Michael","Jones","Female",27706,100,27806,"A5-F"
"HRC-1169","Robert","Miller","Female",18215,300,18515,"A1"
"HRC-1170","Michael","Martinez","Female",20971,400,21371,"A5-F"
"HRC-1171","Jennifer","Williams","Male",21080,200,21280,"B2"
"HRC-1172","Jennifer","Johnson","Male",34258,1500,35758,"B2"
"HRC-1173","Barbara","Johnson","Female",17736,1000,18736,"A1"
"HRC-1174","William","Anderson","Female",7031,1000,8031,"A5-F"
"HRC-1175","Michael","Garcia","Female",10667,1800,12467,"A1"
"HRC-1176","William","Brown","Female",8780,700,9480,"A5-F"
"HRC-1177","Patricia","Miller","Male",27491,1900,29391,"B2"
"HRC-1178","David","Davis","Female",11677,1200,12877,"A1"
"HRC-1179","Linda","Johnson","Female",7730,600,8330,"A5-F"
"HRC-1180","Elizabeth","Johnson","Male",26463,300,26763,"B2"
"HRC-1181","James","Miller","Female",21553,700,22253,"A5-F"
"HRC-1182","David","Brown","Male",7660,600,8260,"B2"
"HRC-1183","William","Smith","Female",14552,1600,16152,"A1"
"HRC-1184","Mary","Johnson","Male",30381,1800,32181,"B2"
"HRC-1185","Linda","Johnson","Male",25270,300,25570,"B2"
"HRC-1186","David","Martinez","Male",31804,1500,33304,"B2"
"HRC-1187","David","Jones","Female",25478,300,25778,"A5-F"
"HRC-1188","William","Miller","Male",6976,300,7276,"B2"
"HRC-1189","Robert","Anderson","Male",22119,700,22819,"B2"
"HRC-1190","Mary","Johnson","Male",25450,1400,26850,"B2"
"HRC-1191","Elizabeth","Brown","Female",6495,1300,7795,"A5-F"
"HRC-1192","William","Davis","Male",34897,1500,36397,"B2"
"HRC-1193","Patricia","Jones","Female",24962,200,25162,"A5-F"
"HRC-1194","Patricia","Jones","Male",21373,600,21973,"B2"
"HRC-1195","Michael","Jones","Male",12230,1000,13230,"A1"
"HRC-1196","Robert","Anderson","Male",34171,200,34371,"B2"
"HRC-1197","Barbara","Rodriguez","Female",22459,400,22859,"A5-F"
"HRC-1198","Robert","Williams","Female",16693,700,17393,"A1"
"HRC-1199","James","Davis","Male",23468,0,23468,"B2"
"HRC-1200","James","Johnson","Female",23144,1900,25044,"A5-F"
"HRC-1201","William","Miller","Female",12003,100,12103,"A1"
"HRC-1202","Patricia","Anderson","Female",29322,0,29322,"A5-F"
"HRC-1203","Barbara","Brown","Female",17615,200,17815,"A1"
"HRC-1204","Mary","Martinez","Female",20180,1200,21380,"A5-F"
"HRC-1205","William","Jones","Female",34664,400,35064,"B2"
"HRC-1206","Michael","Miller","Male",29714,1300,31014,"B2"
"HRC-1207","Elizabeth","Miller","Male",22365,400,22765,"B2"
"HRC-1208","James","Rodriguez","Male",15445,700,16145,"A1"
"HRC-1209","John","Miller","Female",9564,400,9964,"A5-F"
"HRC-1210","William","Garcia","Female",7864,800,8664,"A5-F"
"HRC-1211","William","Miller","Female",11162,1600,12762,"A1"
"HRC-1212","Mary","Martinez","Male",7152,1400,8552,"B2"
"HRC-1213","Robert","Martinez","Male",20339,2000,22339,"B2"
"HRC-1214","Mary","Jones","Male",11023,1100,12123,"A1"
"HRC-1215","Michael","Williams","Female",27891,300,28191,"A5-F"
"HRC-1216","Linda","Anderson","Male",17409,300,17709,"A1"
"HRC-1217","Elizabeth","Smith","Female",24035,1100,25135,"A5-F"
"HRC-1218","Linda","Johnson","Male",33435,0,33435,"B2"
"HRC-1219","Jennifer","Brown","Female",5815,0,5815,"B2"
"HRC-1220","Robert","Rodriguez","Female",8969,900,9869,"A5-F"
"HRC-1221","Mary","Garcia","Female",24218,900,25118,"A5-F"
"HRC-1222","James","Davis","Male",5768,600,6368,"B2"
"HRC-1223","Jennifer","Miller","Female",26707,1500,28207,"A5-F"
"HRC-1224","Linda","Anderson","Female",12866,1400,14266,"A1"
"HRC-1225","Michael","Rodriguez","Male",31451,1500,32951,"B2"
"HRC-1226","Patricia","Wilson","Male",13963,1300,15263,"A1"
"HRC-1227","William","Rodriguez","Male",14687,900,15587,"A1"
"HRC-1228","Elizabeth","Wilson","Female",31215,500,31715,"B2"
"HRC-1229","John","Anderson","Male",25205,1200,26405,"B2"
"HRC-1230","Elizabeth","Jones","Male",30713,1000,31713,"B2"
"HRC-1231","Patricia","Rodriguez","Female",24408,1400,25808,"A5-F"
"HRC-1232","William","Anderson","Male",28014,1400,29414,"B2"
"HRC-1233","William","Anderson","Male",20370,2000,22370,"B2"
"HRC-1234","David","Davis","Female",18357,1800,20157,"A5-F"
"HRC-1235","Michael","Anderson","Male",16226,1600,17826,"A1"
"HRC-1236","Patricia","Anderson","Male",14547,200,14747,"A1"
"HRC-1237","Patricia","Miller","Female",21093,100,21193,"A5-F"
"HRC-1238","Barbara","Davis","Male",27134,1500,28634,"B2"
"HRC-1239","Elizabeth","Martinez","Male",7485,500,7985,"B2"
"HRC-1240","John","Smith","Female",6504,700,7204,"B2"
"HRC-1241","Michael","Anderson","Female",25231,1700,26931,"A5-F"
"HRC-1242","Michael","Williams","Female",30045,1200,31245,"B2"
"HRC-1243","Michael","Smith","Female",5634,600,6234,"B2"
"HRC-1244","Barbara","Miller","Female",13770,0,13770,"A1"
"HRC-1245","John","Miller","Male",20756,900,21656,"B2"
"HRC-1246","Robert","Anderson","Male",33252,2000,35252,"B2"
"HRC-1247","David","Williams","Female",9101,600,9701,"A5-F"
"HRC-1248","Mary","Davis","Female",22230,100,22330,"A5-F"
"HRC-1249","Linda","Williams","Male",7589,1900,9489,"B2"
"HRC-1250","Linda","Jones","Male",15382,1400,16782,"A1"
"HRC-1251","Barbara","Garcia","Male",5181,1500,6681,"B2"
"HRC-1252","William","Wilson","Female",27313,1900,29213,"A5-F"
"HRC-1253","William","Garcia","Male",12771,900,13671,"A1"
"HRC-1254","Jennifer","Martinez","Female",17775,400,18175,"A1"
"HRC-1255","Mary","Wilson","Female",23913,600,24513,"A5-F"
"HRC-1256","David","Brown","Female",25688,400,26088,"A5-F"
"HRC-1257","Robert","Miller","Female",25558,1700,27258,"A5-F"
"HRC-1258","Jennifer","Williams","Female",10532,1200,11732,"A1"
"HRC-1259","Michael","Rodriguez","Male",23126,1100,24226,"B2"
"HRC-1260","Barbara","Davis","Male",12727,1300,14027,"A1"
"HRC-1261","William","Rodriguez","Male",18373,800,19173,"A1"
"HRC-1262","Michael","Martinez","Female",32174,700,32874,"B2"
"HRC-1263","John","Brown","Female",18650,1300,19950,"A1"
"HRC-1264","John","Brown","Female",21248,1700,22948,"A5-F"
"HRC-1265","James","Johnson","Male",14033,1100,15133,"A1"
"HRC-1266","James","Smith","Female",20582,700,21282,"A5-F"
"HRC-1267","Mary","Anderson","Female",21261,1300,22561,"A5-F"
"HRC-1268","Linda","Garcia","Female",24873,1200,26073,"A5-F"
"HRC-1269","Elizabeth","Smith","Female",28197,2000,30197,"B2"
"HRC-1270","James","Garcia","Male",27436,200,27636,"B2"
"HRC-1271","Jennifer","Garcia","Male",15678,400,16078,"A1"
"HRC-1272","Linda","Rodriguez","Female",29878,1000,30878,"B2"
"HRC-1273","Jennifer","Smith","Female",9893,200,10093,"A1"
"HRC-1274","Patricia","Rodriguez","Female",9255,1800,11055,"A1"
"HRC-1275","Mary","Garcia","Female",14562,1000,15562,"A1"
"HRC-1276","Patricia","Garcia","Male",14330,800,15130,"A1"
"HRC-1277","Linda","Williams","Male",24216,400,24616,"B2"
"HRC-1278","Patricia","Anderson","Male",33535,1300,34835,"B2"
"HRC-1279","Patricia","Rodriguez","Female",32120,800,32920,"B2"
"HRC-1280","Patricia","Smith","Female",29374,1600,30974,"B2"
"HRC-1281","Elizabeth","Wilson","Female",14601,300,14901,"A1"
"HRC-1282","Jennifer","Davis","Male",29718,1200,30918,"B2"
"HRC-1283","Elizabeth","Garcia","Male",25074,1900,26974,"B2"
"HRC-1284","David","Wilson","Female",19255,1900,21155,"A5-F"
"HRC-1285","John","Martinez","Male",12295,300,12595,"A1"
"HRC-1286","Robert","Wilson","Male",16199,1700,17899,"A1"
"HRC-1287","Barbara","Williams","Female",14077,0,14077,"A1"
"HRC-1288","William","Brown","Male",19156,700,19856,"A1"
"HRC-1289","Linda","Williams","Male",13362,1400,14762,"A1"
"HRC-1290","Patricia","Williams","Female",32505,2000,34505,"B2"
"HRC-1291","Elizabeth","Davis","Female",25897,700,26597,"A5-F"
"HRC-1292","Patricia","Johnson","Male",27132,900,28032,"B2"
"HRC-1293","Robert","Brown","Female",22726,1200,23926,"A5-F"
"HRC-1294","David","Rodriguez","Female",6528,300,6828,"B2"
"HRC-1295","John","Martinez","Male",31922,700,32622,"B2"
"HRC-1296","Jennifer","Davis","Female",15003,0,15003,"A1"
"HRC-1297","Linda","Johnson","Male",21094,500,21594,"B2"
"HRC-1298","Elizabeth","Martinez","Female",28230,1200,29430,"A5-F"
"HRC-1299","David","Jones","Male",19241,900,20141,"B2"
"HRC-1300","Mary","Johnson","Female",24497,400,24897,"A5-F"
"HRC-1301","David","Wilson","Male",7499,1700,9199,"B2"
"HRC-1302","William","Davis","Female",5525,1500,7025,"B2"
"HRC-1303","William","Jones","Male",32885,400,33285,"B2"
"HRC-1304","Jennifer","Garcia","Female",32916,900,33816,"B2"
"HRC-1305","Robert","Johnson","Female",22164,1700,23864,"A5-F"
"HRC-1306","William","Miller","Male",18473,800,19273,"A1"
"HRC-1307","Patricia","Garcia","Female",24459,1200,25659,"A5-F"
"HRC-1308","Elizabeth","Smith","Male",18232,300,18532,"A1"
"HRC-1309","Barbara","Jones","Female",28875,1700,30575,"B2"
"HRC-1310","John","Garcia","Female",29770,600,30370,"B2"
"HRC-1311","Elizabeth","Jones","Female",12531,100,12631,"A1"
"HRC-1312","Jennifer","Brown","Female",18640,0,18640,"A1"
"HRC-1313","Mary","Brown","Female",9146,200,9346,"A5-F"
"HRC-1314","Patricia","Rodriguez","Male",5991,1500,7491,"B2"
"HRC-1315","John","Garcia","Female",16672,1400,18072,"A1"
"HRC-1316","John","Wilson","Male",27974,1100,29074,"B2"
"HRC-1317","John","Johnson","Female",19992,900,20892,"A5-F"
"HRC-1318","Robert","Smith","Female",13830,200,14030,"A1"
"HRC-1319","Jennifer","Williams","Male",13381,400,13781,"A1"
"HRC-1320","Linda","Smith","Female",13501,500,14001,"A1"
"HRC-1321","Linda","Anderson","Male",34937,600,35537,"B2"
"HRC-1322","Robert","Anderson","Female",34177,400,34577,"B2"
"HRC-1323","Patricia","Wilson","Male",19185,1400,20585,"B2"
"HRC-1324","Elizabeth","Wilson","Male",28721,200,28921,"B2"
"HRC-1325","William","Brown","Female",18462,0,18462,"A1"
"HRC-1326","Mary","Wilson","Male",12022,1300,13322,"A1"
"HRC-1327","Mary","Williams","Female",16677,200,16877,"A1"
"HRC-1328","David","Brown","Female",15351,600,15951,"A1"
"HRC-1329","James","Smith","Female",17196,1000,18196,"A1"
"HRC-1330","Michael","Williams","Female",14592,300,14892,"A1"
"HRC-1331","Mary","Davis","Female",22513,200,22713,"A5-F"
"HRC-1332","Patricia","Williams","Female",26201,0,26201,"A5-F"
"HRC-1333","Barbara","Johnson","Male",31950,500,32450,"B2"
"HRC-1334","Robert","Martinez","Female",15741,1900,17641,"A1"
"HRC-1335","John","Davis","Male",6693,1900,8593,"B2"
"HRC-1336","Linda","Johnson","Male",34111,1700,35811,"B2"
"HRC-1337","Linda","Davis","Male",34112,400,34512,"B2"
"HRC-1338","Linda","Davis","Male",17198,1000,18198,"A1"
"HRC-1339","John","Johnson","Male",31628,1100,32728,"B2"
"HRC-1340","Robert","Anderson","Female",14140,1700,15840,"A1"
"HRC-1341","David","Williams","Male",31083,1800,32883,"B2"
"HRC-1342","Linda","Jones","Male",26929,400,27329,"B2"
"HRC-1343","John","Williams","Male",24577,700,25277,"B2"
"HRC-1344","David","Jones","Male",6824,1900,8724,"B2"
"HRC-1345","Mary","Smith","Male",29563,900,30463,"B2"
"HRC-1346","David","Jones","Male",6497,1200,7697,"B2"
"HRC-1347","Elizabeth","Miller","Female",29408,900,30308,"B2"
"HRC-1348","James","Garcia","Male",20575,1900,22475,"B2"
"HRC-1349","Barbara","Jones","Male",12047,1600,13647,"A1"
"HRC-1350","Barbara","Williams","Female",26267,400,26667,"A5-F"
"HRC-1351","Mary","Jones","Female",23448,600,24048,"A5-F"
"HRC-1352","Elizabeth","Martinez","Female",23136,1400,24536,"A5-F"
"HRC-1353","Mary","Brown","Male",33774,1500,35274,"B2"
"HRC-1354","William","Martinez","Male",31013,1700,32713,"B2"
"HRC-1355","David","Miller","Female",17075,1200,18275,"A1"
"HRC-1356","Jennifer","Davis","Female",13793,1700,15493,"A1"
"HRC-1357","Jennifer","Miller","Female",25274,1300,26574,"A5-F"
"HRC-1358","Barbara","Wilson","Female",14174,1500,15674,"A1"
"HRC-1359","Barbara","Garcia","Female",12407,200,12607,"A1"
"HRC-1360","David","Jones","Female",16971,800,17771,"A1"
"HRC-1361","John","Garcia","Female",6952,600,7552,"A5-F"
"HRC-1362","Patricia","Williams","Female",28340,700,29040,"A5-F"
"HRC-1363","Elizabeth","Williams","Male",31299,1100,32399,"B2"
"HRC-1364","William","Wilson","Male",32454,700,33154,"B2"
"HRC-1365","William","Davis","Female",21143,1300,22443,"A5-F"
"HRC-1366","William","Wilson","Male",13453,300,13753,"A1"
"HRC-1367","Barbara","Johnson","Male",21343,1600,22943,"B2"
"HRC-1368","Robert","Miller","Female",34439,1300,35739,"B2"
"HRC-1369","David","Anderson","Female",21161,0,21161,"A5-F"
"HRC-1370","David","Miller","Female",29917,400,30317,"B2"
"HRC-1371","Mary","Rodriguez","Female",26372,600,26972,"A5-F"
"HRC-1372","Barbara","Miller","Male",20252,100,20352,"B2"
"HRC-1373","Linda","Brown","Male",17139,200,17339,"A1"
"HRC-1374","Linda","Williams","Male",16756,600,17356,"A1"
"HRC-1375","David","Jones","Female",34901,1600,36501,"B2"
"HRC-1376","Patricia","Anderson","Female",19242,1100,20342,"A5-F"
"HRC-1377","David","Davis","Male",15949,100,16049,"A1"
"HRC-1378","Elizabeth","Wilson","Male",18477,1600,20077,"B2"
"HRC-1379","Michael","Johnson","Male",11430,2000,13430,"A1"
"HRC-1380","William","Wilson","Male",8973,1100,10073,"A1"
"HRC-1381","Mary","Jones","Female",19865,1400,21265,"A5-F"
"HRC-1382","Michael","Martinez","Female",27808,1900,29708,"A5-F"
"HRC-1383","Jennifer","Williams","Male",21966,1400,23366,"B2"
"HRC-1384","James","Smith","Male",11541,1500,13041,"A1"
"HRC-1385","John","Garcia","Male",19046,1300,20346,"B2"
"HRC-1386","John","Davis","Female",25341,400,25741,"A5-F"
"HRC-1387","Patricia","Anderson","Male",14182,1500,15682,"A1"
"HRC-1388","Jennifer","Miller","Male",30145,2000,32145,"B2"
"HRC-1389","John","Jones","Female",10648,1000,11648,"A1"
"HRC-1390","Michael","Martinez","Male",10908,1800,12708,"A1"
"HRC-1391","Patricia","Rodriguez","Female",28037,200,28237,"A5-F"
"HRC-1392","Linda","Garcia","Male",20063,1300,21363,"B2"
"HRC-1393","Michael","Rodriguez","Male",17634,1700,19334,"A1"
"HRC-1394","John","Anderson","Female",6645,1200,7845,"A5-F"
"HRC-1395","James","Martinez","Male",24806,300,25106,"B2"
"HRC-1396","Robert","Brown","Male",11632,1600,13232,"A1"
"HRC-1397","James","Davis","Female",34881,0,34881,"B2"
"HRC-1398","John","Smith","Male",25862,1300,27162,"B2"
"HRC-1399","Mary","Johnson","Male",34064,1000,35064,"B2"
